result_id,status,review_state,value,unit,source_file,used_in_paper,notes
q4-lexicographic-40-validation,FROZEN,CHECKED,PASS,status,results/lexicographic_40task_validation/q4_lexicographic_40task_validation.json,no,"3139列显式oracle对照；CG复现成本、5次迁移、6 h等待和437 ms时延；仅作算法验证"
q4-50k-canonical-status,FROZEN,CHECKED,PASS,status,results/qos_refinement_multicut/q4_qos_summary.json,yes,"region_multicut_v1 final-pool两轮Cost->Wait->Latency再认证完成；canonical endpoint冻结；正式Carbon/price/renewable场景另行完成"
q4-50k-canonical-cost,FROZEN,CHECKED,-459340688.8007043,CNY,results/qos_refinement_multicut/q4_qos_summary.json,yes,"最终真实Energy LP成本；两轮Cost anchor一致；不声称full-domain global integer optimum"
q4-50k-canonical-total-wait,FROZEN,CHECKED,0,h,results/qos_refinement_multicut/q4_qos_summary.json,yes,"两轮Wait anchor一致；full-domain pricing最小缺失列约化成本0"
q4-50k-canonical-total-latency,FROZEN,CHECKED,250860,ms,results/qos_refinement_multicut/q4_qos_summary.json,yes,"两轮Latency anchor一致；最终活动列池restricted MIP gap=0"
q4-50k-canonical-mean-latency,FROZEN,CHECKED,5.0172,ms,results/qos_refinement_multicut/q4_final_schedule_kpi_20260818.csv,yes,"50000任务任务级最终排程派生"
q4-50k-canonical-migrated,FROZEN,CHECKED,61,count,results/qos_refinement_multicut/q4_final_schedule_kpi_20260818.csv,yes,"AITraining 52、Batch 8、RT 1"
q4-50k-canonical-migration-rate,FROZEN,CHECKED,0.122,percent,results/qos_refinement_multicut/q4_final_schedule_kpi_20260818.csv,yes,"61/50000；与Q2高迁移率用于柔性替代机制对照"
q4-50k-canonical-max-latency,FROZEN,CHECKED,58,ms,results/qos_refinement_multicut/q4_final_schedule_kpi_20260818.csv,yes,"任务级最终排程派生"
q4-50k-canonical-max-finish,FROZEN,CHECKED,2405.6,h,results/qos_refinement_multicut/q4_final_schedule_kpi_20260818.csv,yes,"所有任务finish<=2406"
q4-50k-final-active-columns,FROZEN,CHECKED,137158,count,results/qos_refinement_multicut/q4_qos_summary.json,yes,"Sweep1 Latency新增19列；Sweep2三个阶段新增0列"
q4-50k-final-benders-cuts,FROZEN,CHECKED,1173,count,results/qos_refinement_multicut/q4_qos_summary.json,yes,"最终region multi-cut数量"
q4-50k-hard-audit,FROZEN,CHECKED,PASS,status,results/qos_refinement_multicut/q4_qos_summary.json,yes,"任务/GPU/IT/SLA/deadline/2406/grid/SOC/terminal SOC等全部通过；最大物理残差约1.14e-13"
q4-50k-latency-lp-lb,FROZEN,CHECKED,250469.95457912493,ms,results/qos_refinement_multicut/q4_qos_summary.json,yes,"full-domain Latency LP lower bound"
q4-50k-latency-lp-integer-gap,FROZEN,CHECKED,0.1554833058,percent,results/qos_refinement_multicut/q4_qos_summary.json,yes,"(250860-250469.954579)/250860；用于最优性边界；global integer optimum未证明"
q4-formal-scenarios,DRAFT,NEEDS_REVIEW,PENDING,status,work/tasks/q4_finalization_20260818.md,no,"Carbon constraints / electricity-price mechanisms / renewable fluctuation尚待完成；整问因此仍为FINISHED_DRAFT而非整体FROZEN"
