"类别_图编号","类别_数据文件","类别_推荐图型","类别_状态","类别_审查结论"
"A","图A_区域结构标准化热图_OriginPlotvm.csv","文本坐标Plotvm热图","可绘制","9个有区分度指标；全零可再生能源列已剔除"
"B","图B_顺序失真水平点图.csv","水平散点/哑铃图","可绘制","2个端点；复算后零值作为X=0基准，不画柱状图"
"C1","图C1_迁移任务源目标矩阵_OriginPlotvm.csv","掩码热图","可绘制","仅显示非对角迁移信号，空白对角线保留"
"C2","图C2_任务类型迁移_棒棒糖.csv","水平棒棒糖图","可绘制","3个任务类型，保留迁移数/总任务数标签"
"D","图D_再认证证书表.csv","结构化证书表","不建议作图","RC和区域违反全零，Sweep锚点重复，图形信息量不足"
"E","图E_Q2与Q4柔性替代双面板.csv","三面板水平哑铃图","可绘制","三个指标分开坐标轴，Q4真实零值显式标注"
"E3","图E3_任务时延经验分布.csv","ECDF散点图","可绘制","7个唯一时延点，不平滑"
"F","图F_canonical与price_flat证书对比.csv","证书表","不建议作图","两个端点三指标完全重合"
"G","图G_price_flat_Latency认证误差收敛.csv","散点+历史最优阶梯线","可绘制","24轮，历史最优误差单调不增"
"旧表","图E_等待分布.csv / 图E1_Q2与Q4迁移率对比.csv / 图E2_Q2与Q4等待对比.csv","不直接使用","已降级","由E双面板专用表替代，避免零值柱图"
"模板","图F_六指标场景对比_待补正式场景.csv","不绘制","待正式场景","Carbon/price/renewable场景尚未完成，不能作为结果图"
"H","图H_约束审计矩阵.csv","结构化审计表","可直接入文","四个场景硬约束违规计数均为0；平衡残差仅为1.14e-13 MW量级，使用表格而不画全零违反柱"
"I","图I_场景约束压力.csv","Python四面板点图","可绘制","四个指标独立尺度；零值显式标注，renew_down_80压力点单独标注；不构造综合压力指数"
